,family,given,suffix,particle,dropping_particle,nick,appellation,title,canonical_string_collector_parsed,occurrenceID_collectors_count,occurrenceID_collectors_firstsample,old_index,namematch_source_data,namematch_resource_data,namematch_distance
3365,Cooper,T.G.,,,,,,,"Cooper, T.G.",1,http://id.snsb.info/snsb/collection/407953/477242/191837,1975,"Cooper, T.G.","Cooper, T.",0.64
3558,Cueva,E.,,,,,,,"Cueva, E.",1,https://herbarium.bgbm.org/object/B100720268,5503,"Cueva, E.","Cueva, M.A.",0.64
3637,Cárdenas,Y.,,,,,,,"Cárdenas, Y.",1,https://herbarium.bgbm.org/object/B101153986,3351,"Cárdenas, Y.","Cárdenas, M.",0.64
3666,Dahl,F.O.,,,,,,,"Dahl, F.O.",2,https://herbarium.bgbm.org/object/B100366157,15311,"Dahl, F.O.","Dahl, F.",0.64
3766,Davis,P.,,,,,,,"Davis, P.",5,https://herbarium.bgbm.org/object/B101233207,18,"Davis, P.","Davis, P.H.",0.64
3855,Della,A.,,,,,,,"Della, A.",2,http://id.snsb.info/snsb/collection/444619/544822/227473,11702,"Della, A.","Della, A.P.",0.64
3945,Diaz,A.,,,,,,,"Diaz, A.",3,https://herbarium.bgbm.org/object/B100769962,7081,"Diaz, A.","Diaz, E.",0.64
4143,Drake,E.,,,,,,,"Drake, E.",3,https://dr.jacq.org/DR055492,8161,"Drake, E.","Drake, D.",0.64
4503,Ehlers,O.,,,,,,,"Ehlers, O.",7,https://herbarium.bgbm.org/object/B100153464,15386,"Ehlers, O.","Ehlers, R.",0.64
4524,Eichenfeld,,,,,,,,Eichenfeld,4,https://herbarium.bgbm.org/object/B100217402,4816,Eichenfeld,"Eichenfeld, M.R.v.",0.64
116,Eichenfeld,von Michael,,,,,,,"Eichenfeld, von Michael",4,https://herbarium.bgbm.org/object/B100268878,404,"Eichenfeld, von Michael","Eichenfeld, Michael Ritter von",0.64
